Код;КЧ;Наименование профессии;Наименование должности;Код категории;Код выпуска ЕТКС;Код по ОКЗ;autokey
17796;3;Растворщик реагентов;;4;8112;;classifierOkpdtr_17796
17798;2;Растильщик грибницы;;31;8221;;classifierOkpdtr_17798
17800;6;Растяжчик кожаных полос;;48;7442;;classifierOkpdtr_17800
17802;5;Растяжчик кож и овчин на рамы;;48;7441;;classifierOkpdtr_17802
17803;4;Растяжчик металлосеток;;15;7280;;classifierOkpdtr_17803
17805;9;Растяжчик секций и катушек электрических машин;;19;8282;;classifierOkpdtr_17805
17807;8;Расфасовщик алмазов и алмазных порошков;;18;7270;;classifierOkpdtr_17807
17809;7;Расфасовщик ваты;;47;9350;;classifierOkpdtr_17809
17811;4;Расфасовщик мясопродуктов;;52;7411;;classifierOkpdtr_17811
17813;3;Расфасовщик нюхательной махорки и табака;;55;7414;;classifierOkpdtr_17813
17814;8;Расфасовщик табака;;55;9350;;classifierOkpdtr_17814
17816;7;Расформовщик;;40;8144;;classifierOkpdtr_17816
17818;6;Расчесывальщик меховых шкурок;;48;7441;;classifierOkpdtr_17818
17820;3;Расшлифовщик фильеров;;63;7312;;classifierOkpdtr_17820
17822;2;Расщепляльщик синтетических нитей;;27;8232;;classifierOkpdtr_17822
17824;1;Рафинировщик;;33;8231;;classifierOkpdtr_17824
17826;0;Рафинировщик ртути;;8;8121;;classifierOkpdtr_17826
17828;7;Реактивщик;;44;7324;;classifierOkpdtr_17828
17830;7;Реакторщик;;30;8228;;classifierOkpdtr_17830
17832;6;Реакторщик химочистки рассола;;55;8273;;classifierOkpdtr_17832
17834;5;Регенераторщик;;55;8159;;classifierOkpdtr_17834
17836;4;Регенераторщик абразивов;;17;7270;;classifierOkpdtr_17836
17838;3;Регенераторщик драгоценных металлов;;65;8153;;classifierOkpdtr_17838
17840;0;Регенераторщик отработанного масла;;1;8154;;classifierOkpdtr_17840
17841;5;Регенераторщик сернистой кислоты;;41;8159;;classifierOkpdtr_17841
17844;9;Регенераторщик слюды;;19;9321;;classifierOkpdtr_17844
17846;8;Регулировщик асбестообогатительного оборудования;;4;8111;;classifierOkpdtr_17846
17848;7;Регулировщик-градуировщик электроизмерительных приборов;;19;7241;;classifierOkpdtr_17848
17850;4;Регулировщик композиции и концентрации массы;;41;8142;;classifierOkpdtr_17850
17852;3;Регулировщик-настройщик тренажеров;;22;7132;;classifierOkpdtr_17852
17854;2;Регулировщик пианино и роялей;;63;7312;;classifierOkpdtr_17854
17856;1;Регулировщик подачи воды;;46;7431;;classifierOkpdtr_17856
17857;6;Регулировщик полей фильтрации;;48;7415;;classifierOkpdtr_17857
17859;5;Регулировщик работы скважин;;4;8111;;classifierOkpdtr_17859
17861;2;Регулировщик радиоэлектронной аппаратуры и приборов;;21;8283;;classifierOkpdtr_17861
17863;1;Регулировщик скорости движения вагонов;;56;8312;;classifierOkpdtr_17863
17865;0;Регулировщик хвостового хозяйства;;4;7111;;classifierOkpdtr_17865
17867;2;Регулировщик электродов;;8;8122;;classifierOkpdtr_17867
17869;9;Регулировщик язычковых инструментов;;63;7312;;classifierOkpdtr_17869
17871;6;Редуцировщик игл;;11;7280;;classifierOkpdtr_17871
17872;0;Редуцировщик трубчатых электронагревателей;;19;8122;;classifierOkpdtr_17872
17874;9;Резчик алмазов;;18;7270;;classifierOkpdtr_17874
17876;9;Резчик ампул и трубок;;31;8132;;classifierOkpdtr_17876
17878;8;Резчик асбестоцементных и асбестосилитовых изделий;;42;7450;;classifierOkpdtr_17878
17880;5;Резчик бетонных и железобетонных изделий;;42;7450;;classifierOkpdtr_17880
17882;4;Резчик брикета и заготовок;;7;9322;;classifierOkpdtr_17882
17883;9;Резчик бумаги, картона и целлюлозы;;41;8142;;classifierOkpdtr_17883
17887;7;Резчик гипсокартонных листов;;42;7450;;classifierOkpdtr_17887
17889;6;Резчик горячего металла;;7;8122;;classifierOkpdtr_17889
17891;3;Резчик декалькоманий;;45;9321;;classifierOkpdtr_17891
17893;2;Резчик деревянного шрифта;;59;9343;;classifierOkpdtr_17893
17895;1;Резчик заготовок и изделий из пластических масс;;27;8284;;classifierOkpdtr_17895
17897;0;Резчик керамических и фарфоровых изделий;;45;8133;;classifierOkpdtr_17897
17899;1;Резчик кирпича и черепицы;;42;7450;;classifierOkpdtr_17899
17901;3;Резчик конвертов;;44;9222;;classifierOkpdtr_17901
17902;8;Резчик-лудильщик фольги;;20;9321;;classifierOkpdtr_17902
17904;7;Резчик магнитных лент;;34;8224;;classifierOkpdtr_17904
17906;6;Резчик магнитопроводов;;20;7241;;classifierOkpdtr_17906
17908;5;Резчик материалов;;35;7442;;classifierOkpdtr_17908
17909;7;Резчик материалов и изделий;;47;8269;;classifierOkpdtr_17909
17910;2;Резчик материалов и изделий;;48;8269;;classifierOkpdtr_17910
