prof_code,prof_name
11208,Бондарь
11209,Бондарь-укупорщик
11210,Бондарь-укупорщик
11212,Бортмеханик
11213,Бортоператор по проверке магистральных трубопроводов
11214,Бортоператор грузовых самолетов
11215,"Бортоператор (первый, второй)"
11217,Бортпроводник
11218,Бортрадист
11219,Бортштурман
11220,Боцман
11221,Боцман береговой
11222,Бригадир бункеров
11223,Бригадир бурильного отделения
11224,Бригадир двора изложниц
11225,Бригадир заготовительного отделения
11226,Бригадир изыскательской русловой партии
11228,Бригадир колодцев замедленного охлаждения металла
11230,Бригадир молотового отделения
11231,Бригадир муфтосварочного отделения
11233,"Бригадир на отделке, сортировке, приемке, сдаче, пакети-ровке и упаковке металла и готовой продукции"
11235,Бригадир-настройщик трубоэлектросварочных станов
11237,Бригадир на участках основного производства
11239,Бригадир обдирочно-зачистного отделения
11241,Бригадир (освобожденный) по текущему содержанию и ремонту пути и искусственных сооружений
11242,Бригадир (освобожденный) предприятий железнодорожного транспорта и метрополитенов
11244,Бригадир осмотра и механообработки колес
11246,"Бригадир отделения калибровки, волочения и шлифовки металла"
11248,Бригадир отделения центробежных машин
11250,Бригадир подготовительного отделения
11482,Волочильщик
11251,"Бригадир по перемещению сырья, полуфабрикатов и готовой продукции в процессе производства"
11253,Бригадир поста судоходной обстановки
