prof_standard_code,prof_standard_sphere,prof_standard_type,prof_standard_name
24.097,Атомная промышленность,Цифровое проектирование объектов использования атомной энергии ,Специалист по цифровому проектированию объектов использования атомной энергии
24.098,Атомная промышленность,Производство проектной продукции для объектов использования атомной энергии ,Специалист по производству проектной продукции для объектов использования атомной энергии
17.099,Транспорт,"Техническая эксплуатация судовых энергетических установок (далее – СЭУ), судовых систем, механизмов и технических средств морских судов и судов внутреннего плавания",Моторист судовой
03.015,Социальное обслуживание,"Разработка и реализация программ и проектов, а также мероприятий, в том числе международных, в сфере молодежной политики, взаимодействие с молодежными и детскими общественными объединениями",Специалист по работе с молодежью
17.100,Транспорт,"Техническая поддержка процесса эксплуатации, развития и обеспечения работы устройств электрификации и электроснабжения железнодорожного транспорта",Специалист по технической поддержке процесса эксплуатации устройств электрификации и электроснабжения железнодорожного транспорта
17.101,Транспорт,"Управление уборочными (моечными, пескоструйными) машинами (установками, аппаратами), их обслуживание, мойка, уборка и обработка железнодорожного подвижного состава","Работник по управлению и обслуживанию уборочных(моечных) машин (установок), мойке, уборке и обработке железнодорожного подвижного состава"
17.102,Транспорт,Деятельность по ознакомлению с профессиями железнодорожного транспорта на детской железной дороге,Специалист детской железной дороги
17.103,Транспорт,"Организация ремонта, технического обслуживания и изготовления узлов транспортных средств и элементов устройств инфраструктуры, зданий и сооружений железнодорожного транспорта","Специалист по организации ремонта, технического обслуживания и изготовления узлов транспортных средств и элементов устройств инфраструктуры, зданий и сооружений железнодорожного транспорта"
17.104,Транспорт,Деятельность по обработке и оценке результатов контроля технического состояния элементов верхнего строения железнодорожного пути,Специалист по обработке и оценке результатов контроля технического состояния элементов верхнего строения железнодорожного пути
02.061,Здравоохранение,Врачебная практика в области клинической фармакологии,Врач – клинический фармаколог
18.005,"Добыча, переработка угля, руд и других полезных ископаемых","Вспомогательные работы, связанные с подземной добычей угля, проведением и эксплуатацией горных выработок",Горнорабочий подземный
18.006,"Добыча, переработка угля, руд и других полезных ископаемых",Проведение подземных горных выработок,Проходчик подземный
02.062,Здравоохранение,Врачебная практика в пластической хирургии,Врач-пластический хирург
04.009,Культура и искусство,Создание визуальных эффектов в анимационном кино и компьютерной графике,Специалист по созданию визуальных эффектов в анимационном кино и компьютерной графике
04.010,Культура и искусство,Технологическое сопровождение производства анимационного кино,Специалист по технологиям производства анимационного кино
04.011,Культура и искусство,Подготовка и обеспечение подготовительного периода анимационного кино,Специалист подготовительного периода анимационного кино
02.063,Здравоохранение,Первичная доврачебная медико-санитарная помощь по профилактике стоматологических заболеваний,Гигиенист стоматологический
02.064,Здравоохранение,Первичная доврачебная медико-санитарная помощь населению в области ортопедической стоматологии,Зубной техник
02.065,Здравоохранение,Деятельность среднего медицинского персонала в области сестринского дела ,Медицинская сестра / медицинский брат
02.066,Здравоохранение,Деятельность среднего медицинского персонала в области медицинской реабилитации,Медицинская сестра по реабилитации
02.067,Здравоохранение,Деятельность среднего медицинского персонала в области анестезиологии-реаниматологии,Медицинская сестра – анестезист
02.068,Здравоохранение,Деятельность среднего медицинского персонала в области лечебного дела,Фельдшер
02.069,Здравоохранение,Организация сестринского дела,Специалист по организации сестринского дела
02.070,Здравоохранение,Деятельность среднего медицинского персонала в области рентгенологии,Рентгенолаборант
02.071,Здравоохранение,Осуществление медицинской деятельности в области клинической лабораторной диагностики,Специалист в области лабораторной диагностики со средним медицинским образованием
02.072,Здравоохранение,Деятельность среднего медицинского персонала в области судебно-медицинской экспертизы,Специалист по судебно-медицинской экспертизе со средним медицинским образованием
02.073,Здравоохранение,Врачебная практика в области рентгенэндоваскулярных диагностики и лечения,Врач по рентгенэндоваскулярным диагностике и лечению
02.074,Здравоохранение,Медицинская помощь несовершеннолетним обучающимся,Специалист по оказанию медицинской помощи несовершеннолетним обучающимся в образовательных организациях
08.041,Финансы и экономика,Управление инвестиционными проектами с использованием механизма государственно-частного партнерства,Специалист в сфере управления проектами государственно-частного партнерства
17.105,Транспорт,"Техническая эксплуатация судового электрооборудования, электронной аппаратуры и систем управления морских судов, судов внутреннего и смешанного плавания",Электрик судовой
20.043,Электроэнергетика,Проведение и контроль выполнения ремонтных работ парогазотурбинного оборудования тепловой электрической станции,Работник по ремонту парогазотурбинного оборудования тепловой электростанции
26.023,"Химическое, химико-технологическое производство",Производство резиновых смесей,Специалист по производству резиновых смесей
17.106,Транспорт,"Управление весоповерочным вагоном, наладка и обслуживание весоповерочного вагона",Машинист весоповерочного вагона
26.024,"Химическое, химико-технологическое производство",Технологическое сопровождение биотехнологических процессов получения биологически активных веществ,Специалист в области биотехнологии биологически активных веществ
26.025,"Химическое, химико-технологическое производство",Организация технологического процесса производства парфюмерно-косметической продукции,Специалист по производству парфюмерно-косметической продукции
40.202,Сквозные виды профессиональной деятельности,Разработка ионно-плазменных технологических процессов термической обработки,Специалист по ионно-плазменным технологиям термической обработки
29.015,"Производство электрооборудования, электронного и оптического оборудования",Конструирование радиоэлектронных средств различного функционального назначения,Специалист по конструированию радиоэлектронных средств
28.009,Производство машин и оборудования,Проектирование металлорежущих лезвийных инструментов,Специалист по проектированию металлорежущих лизвийных инструментов
13.023,Сельское хозяйство,"Мониторинг и управление плодородием почв, экологическим состоянием агроэкосистем и экологической безопасностью растениеводческой продукции",Агрохимик-почвовед
22.006,"Пищевая промышленность, включая производство  напитков и табака","Комплексная механизация, автоматизация и роботизация технологических линий и процессов производства пищевой продукции","Специалист по механизации, автоматизации и роботизации технологического оборудования и процессов пищевой и перерабатывающей промышленности"
28.010,Производство машин и оборудования,"Проектирование термического нагревательного и охладительного оборудования, использующего технологические среды атмосферного давления",Специалист по проектированию термического оборудования атмосферного давления
22.007,"Пищевая промышленность, включая производство  напитков и табака","Обеспечение безопасности, прослеживаемости и качества пищевой продукции на всех этапах ее производства и обращения на рынке","Специалист по безопасности, прослеживаемости и качеству пищевой продукции на всех этапах ее производства"
22.008,"Пищевая промышленность, включая производство  напитков и табака",Маркетинговые исследования в области пищевой и перерабатывающей промышленности,Специалист по маркетинговым исследованиям в области пищевой и перерабатывающей промышленности 
29.016,"Производство электрооборудования, электронного и оптического оборудования",Обеспечение электровакуумного и полупроводникового производства вакуумным технологическим оборудованием,Специалист по проектированию вакуумного технологического оборудования для электровакуумного и полупроводникового производства
22.009,"Пищевая промышленность, включая производство  напитков и табака",Техническое обслуживание и ремонт автоматизированных технологических линий по производству продуктов питания,Специалист по эксплуатации технологического оборудования и процессов пищевой и перерабатывающей промышленности
40.203,Сквозные виды профессиональной деятельности,"Технический контроль качества отливок, литейной оснастки и литейных ковшей",Контролер в литейном производстве
40.204,Сквозные виды профессиональной деятельности,Технический контроль качества поковок в кузнечно прессовом производстве,Контролер кузнечно-прессовых работ
19.066,"Добыча, переработка, транспортировка нефти и газа",Эксплуатация объектов трубопроводного транспорта ,Специалист по эксплуатации объектов трубопроводного транспорта нефти и нефтепродуктов
12.007,Обеспечение безопасности,Тушение пожаров,Пожарный
20.044,Электроэнергетика,Проведение и контроль выполнения ремонтных работ оборудования котельных и пылеприготовительных цехов тепловой электрической станции ,Работник по ремонту оборудования котельных и пылеприготовительных цехов тепловой электростанции
17.107,Транспорт,"Эксплуатация, техническое обслуживание и ремонт судовых двигательных установок, судовых систем, механического, электрического и электронного оборудования и техники морских судов, судов внутреннего и смешанного плавания",Механик судовой
12.008,Обеспечение безопасности,Организация и проведение газоспасательных работ и работ по предупреждению аварий и (или) инцидентов на химически опасных и взрывопожароопасных производственных объектах,Специалист по газоспасательным работам на химически опасных и взрывопожароопасных производственных объектах
10.011,"Архитектура, проектирование, геодезия, топография и дизайн",Проектирование мостовых сооружений,Специалист в области проектирования мостовых сооружений
40.205,Сквозные виды профессиональной деятельности,Стандартизация инновационной продукции наноиндустрии,Специалист по стандартизации инновационной продукции наноиндустрии 
17.108,Транспорт,"Деятельность по надзору за соблюдением и контролю соблюдения норм и допусков содержания объектов железнодорожной инфраструктуры, земляного полотна, его укрепительных, защитных и водоотводных сооружений",Специалист по надзору и контролю за соблюдением норм содержания объектов железнодорожной инфраструктуры
17.109,Транспорт,"Организация деятельности по консервации (расконсервации), сохранности (содержанию) в запасе (отстое), подготовке в эксплуатацию железнодорожного подвижного состава","Специалист по организации работ по консервации (расконсервации), сохранности (содержанию) в запасе (отстое), подготовке в эксплуатацию железнодорожного подвижного состава"
17.110,Транспорт,Деятельность по работе с клиентами в сфере грузовых перевозок на железнодорожном транспорте,Специалист по работе с клиентами в сфере грузовых перевозок на железнодорожном транспорте
24.099,Атомная промышленность,Экспертиза проектной документации и результатов инженерных изысканий объектов использования атомной энергии (далее – ОИАЭ) федеральных ядерных организаций ,Эксперт в области государственной и ведомственной экспертизы проектной документации и результатов инженерных изысканий объектов использования атомной энергии федеральных ядерных организаций
24.100,Атомная промышленность,Экспертиза сметной документации на строительство объектов использования атомной энергии (ОИАЭ) федеральных ядерных организаций,"Эксперт по оценке достоверности определения сметной стоимости строительства, реконструкции, капитального ремонта объектов капитального строительства объектов использования атомной энергии федеральных ядерных организаций"
24.101,Атомная промышленность,Обеспечение соблюдения условий контракта при сооружении объектов использования атомной энергии,Специалист по контрактной и претензионной работе при сооружении объектов использования атомной энергии
04.012,Культура и искусство,Инженерно-конструкторское обеспечение и сопровождение изготовления кукол и персонажей,Инженер-конструктор кукол и персонажей
24.102,Атомная промышленность,Разработка проектной документации гидротехнических сооружений объектов использования атомной энергии ,Инженер-проектировщик гидротехнических сооружений объектов использования атомной энергии
24.103,Атомная промышленность,Разработка проектной документации технологической части объектов использования атомной энергии ,Инженер-проектировщик технологической части объектов использования атомной энергии
24.104,Атомная промышленность,Проектирование систем ядерной и радиационной безопасности для объектов использования атомной энергии ,Инженер-проектировщик систем ядерной и радиационной безопасности объектов использования атомной энергии
24.105,Атомная промышленность,Разработка проектной документации архитектурно-строительной части объектов использования атомной энергии ,Инженер-проектировщик архитектурно-строительной части объектов использования атомной энергии
24.106,Атомная промышленность,Испытания технологических систем объектов использования атомной энергии (далее – ОИАЭ) перед вводом в эксплуатацию,Инженер по испытаниям технологических систем объектов использования атомной энергии
24.107,Атомная промышленность,Производственно-техническое обеспечение деятельности организации атомной энергетики,Специалист по производственно-техническому обеспечению организации атомной энергетики
24.108,Атомная промышленность,Проектирование системы физической защиты объектов использования атомной энергии,Инженер-проектировщик системы физической защиты объектов использования атомной энергии
02.075,Здравоохранение,Ведение фармацевтической деятельности в сфере обращения лекарственных средств ,Фармацевт
10.012,"Архитектура, проектирование, геодезия, топография и дизайн","Осуществление деятельности для определения кадастровой стоимости объектов недвижимости, сведения о которых внесены в единый государственный реестр недвижимости ",Специалист по определению кадастровой стоимости
02.076,Здравоохранение,Врачебная практика в области косметологии,Врач-косметолог
02.077,Здравоохранение,Оказание скорой медицинской помощи в экстренной и неотложной формах вне медицинской организации,Фельдшер скорой медицинской помощи
02.078,Здравоохранение,Врачебная практика в области детской урологии-андрологии,Врач – детский уролог-андролог
02.079,Здравоохранение,Врачебная практика в области трансфузиологии ,Врач-трансфузиолог
02.080,Здравоохранение,Первичная доврачебная медико-санитарная помощь по профилю «акушерское дело» ,Акушерка (Акушер)
40.206,Сквозные виды профессиональной деятельности,Управление интеллектуальной собственностью  организации,Специалист по управлению интеллектуальной собственностью и трансферту технологий
26.026,"Химическое, химико-технологическое производство",Технологическое обеспечение производства листового стекла,Инженер-технолог по производству листового стекла
06.045,"Связь, информационные и коммуникационные технологии ",Техническая поддержка и обслуживание базовых станций мобильной связи, Специалист по обслуживанию базовых станций мобильной связи
19.067,"Добыча, переработка, транспортировка нефти и газа",Выполнение подготовительных и вспомогательных работ при проведении геофизических работ в нефтегазовой отрасли,Работник на геофизических работах в нефтегазовой отрасли
16.151,Строительство и ЖКХ,Информационное моделирование объектов капитального строительства,Специалист в сфере информационного моделирования в строительстве
10.013,"Архитектура, проектирование, геодезия, топография и дизайн",Выполнение работ и оказание услуг географической направленности ,"Географ
(Специалист по выполнению работ и оказанию услуг географической направленности)
"
12.009,Обеспечение безопасности,"Реализация полномочий организации по подготовке к защите и по защите населения, материальных и культурных ценностей на территории Российской Федерации от опасностей, возникающих при военных конфликтах или вследствие этих конфликтов, а также при чрезвычайных ситуациях природного и техногенного характера ",Специалист по гражданской обороне
18.007,"Добыча, переработка угля, руд и других полезных ископаемых","Управление подземными установками и их обслуживание
",Машинист подземных установок
40.207,Сквозные виды профессиональной деятельности,Производство шинных материалов с применением нанотехнологий ,Специалист по технологии производства шинных материалов с применением нанотехнологий
40.208,Сквозные виды профессиональной деятельности,Техническое обеспечение процесса производства шинных материалов с применением нанотехнологий,Специалист технического обеспечения процесса производства шинных материалов с применением нанотехнологий
19.068,"Добыча, переработка, транспортировка нефти и газа","Эксплуатация подъемного агрегата при текущем, капитальном ремонтах, реконструкции и освоении нефтяных и газовых скважин","Машинист подъемника по ремонту, реконструкции и освоению скважин в нефтегазовой отрасли"
19.069,"Добыча, переработка, транспортировка нефти и газа",Эксплуатация наземного оборудования буровых установок на нефть и газ,Работник по ремонту и обслуживанию наземного оборудования буровых установок на нефть и газ
12.010,Обеспечение безопасности,Поисково-спасательные работы на акватории,Спасатель на акватории
10.014,"Архитектура, проектирование, геодезия, топография и дизайн",Проектирование автомобильных дорог,Специалист в области проектирования автомобильных дорог
24.109,Атомная промышленность,"Управление конфигурацией, требованиями и изменениями проектов сооружения объектов использования атомной энергии","Инженер по управлению конфигурацией, требованиями и изменениями проектов сооружения объектов использования атомной энергии"
05.012,Физическая культура и спорт,Спортивная подготовка и физическое воспитание детей и взрослых,Тренер-преподаватель
40.209,Сквозные виды профессиональной деятельности,"Осуществление производственного контроля, диагностирование технических устройств и обследование зданий и сооружений на опасным производственном объекте",Специалист в сфере промышленной безопасности
05.013,Физическая культура и спорт,Организация и продвижение фитнес-услуг населению ,Специалист по продвижению фитнес-услуг
20.045,Электроэнергетика,Эксплуатация оборудования ветроэнергетических установок/ ветроэлектростанций ,"Работник по эксплуатации оборудования 
ветроэнергетических установок/ветроэлектростанций
"
20.046,Электроэнергетика,Эксплуатация оборудования солнечных электростанций ,Работник по эксплуатации оборудования солнечных электростанций
02.081,Здравоохранение,Врачебная практика в области остеопатии,Врач-остеопат
02.082,Здравоохранение,Врачебная практика в области диетологии,Врач-диетолог
17.111,Транспорт,Административно-организационное обеспечение безопасной эксплуатации и поддержания в исправном состоянии пассажирских канатных дорог и фуникулеров,Специалист по организации безопасной эксплуатации пассажирских канатных дорог и фуникулеров
17.112,Транспорт,"Организация эксплуатации, технического обслуживания и ремонта пассажирской подвесной канатной дороги и фуникулера",Технический руководитель – начальник пассажирской подвесной канатной дороги
26.027,"Химическое, химико-технологическое производство",Технологическое обеспечение переработки полимерных и композиционных материалов,Специалист по переработке полимерных и композиционных материалов
26.028,"Химическое, химико-технологическое производство",Технологическое обеспечение производства полимерных и композиционных материалов,Специалист в области синтеза полимерных и композиционных материалов
02.083,Здравоохранение,Медико-профилактическая деятельность,Специалист в области медико-профилактического дела со средним медицинским образованием
08.042,Финансы и экономика,Деятельность по пенсионному обеспечению клиентов негосударственного пенсионного фонда,Специалист негосударственного пенсионного фонда
07.012,Административно-управленческая и офисная деятельность,Управление документами архива организаций любых организационно-правовых форм,Специалист архива
24.110,Атомная промышленность,Системная инженерия проектов сооружения объектов использования атомной энергии ,Системный инженер проектов сооружения объектов использования атомной энергии
40.210,Сквозные виды профессиональной деятельности,"Обслуживание лифтов, подъемных платформ для инвалидов, эскалаторов, систем инженерно-технического обеспечения зданий и сооружений с применением диспетчерского контроля",Диспетчер аварийно-диспетчерской службы
04.013,Культура и искусство,Создание компьютерной трехмерной анимации персонажей и объектов посредством интерактивных систем движения (захвата движения) ,Специалист по работе с интерактивными системами движения
04.014,Культура и искусство,Организация производства анимационного кино,Специалист по организации производства анимационного кино
01.008,Образование и наука,Руководство научной организацией,Руководитель научной организации
01.009,Образование и наука,Научное руководство научной организацией,Научный руководитель научной организации
19.070,"Добыча, переработка, транспортировка нефти и газа",Эксплуатация автоматизированных систем управления технологическими процессами в нефтегазовой отрасли,Специалист по эксплуатации автоматизированных систем управления технологическими процессами в нефтегазовой отрасли
19.071,"Добыча, переработка, транспортировка нефти и газа",Эксплуатационное и разведочное бурение нефтяных и газовых скважин,"Бурильщик эксплуатационного и разведочного бурения скважин 
на нефть и газ
"
01.010,Образование и наука,Управление образовательной организацией высшего образования,Руководитель образовательной организации высшего образования
18.008,"Добыча, переработка угля, руд и других полезных ископаемых",Выполнение механизированных работ с применением бульдозера при разработке месторождений полезных ископаемых,Машинист бульдозера на горных работах
26.029,"Химическое, химико-технологическое производство",Производство цемента и совершенствование технологического процесса производства ,Инженер-технолог цементного производства
26.030,"Химическое, химико-технологическое производство",Контроль производства цемента и качества выпускаемой продукции,Контролер цементного производства
12.011,Обеспечение безопасности,Организация тушения пожаров в населенных пунктах и на объектах,Специалист по организации тушения пожаров
26.031,"Химическое, химико-технологическое производство",Производство особо чистых веществ и реактивов,Специалист по производству особо чистых веществ и реактивов
26.032,"Химическое, химико-технологическое производство",Производство лакокрасочных материалов ,Специалист по производству лакокрасочных материалов
26.033,"Химическое, химико-технологическое производство",Производство герметиков и клеев,Специалист по производству герметиков и клеев
02.084,Здравоохранение,Врачебная практика в области акушерства и гинекологии,Врач – акушер-гинеколог
02.085,Здравоохранение,Врачебная практика в области онкологии,Врач-онколог
08.043,Финансы и экономика,Осуществление экономической деятельности организации,Экономист предприятия
04.015,Культура и искусство,Профессиональный перевод и управление переводческими проектами и процессами,Специалист в области перевода
17.113,Транспорт,Управление терминально-складским комплексом железнодорожного транспорта,Работник по управлению терминально-складским комплексом железнодорожного транспорта
07.013,Административно-управленческая и офисная деятельность,Управление и использование цифровой трансформации документированных сфер деятельности организации,Специалист цифровой трансформации документированных сфер деятельности организации
40.211,Сквозные виды профессиональной деятельности,Техническое обслуживание и ремонт лифтов,Электромеханик по лифтам
40.212,Сквозные виды профессиональной деятельности,"Обслуживание лифтов, подъемных платформ для инвалидов, пассажирских конвейеров (движущихся пешеходных дорожек), эскалаторов",Лифтер – оператор по обслуживанию лифтов и платформ подъемных
