prof_standard_code,prof_standard_sphere,prof_standard_type,prof_standard_name
25.010,Ракетно-космическая промышленность ,Технологическая подготовка и сопровождение производства космических аппаратов и систем,Инженер-технолог по изготовлению космических аппаратов и систем
24. 019,Атомная промышленность,Эксплуатационное и техническое обслуживание систем спецводоочистки и спецгазоочистки энергоблоков атомной электрической станции (АЭС),Оператор спецводоочистки в атомной энергетике
40.015,Сквозные виды профессиональной деятельности,"Метрологическое обеспечение разработки, производства и испытаний нанотехнологической продукции","Инженер по метрологии в области метрологического обеспечения разработки, производства и испытаний нанотехнологической продукции"
40.016,Сквозные виды профессиональной деятельности,"Проектирование устройств, приборов и систем электронной техники с учетом заданных требований; разработка проектно-конструкторской документации в соответствии с методическими и нормативными требованиями",Инженер в области проектирования и сопровождения интегральных схем и систем на кристалле
40.017,Сквозные виды профессиональной деятельности,"Производство объемных нанокерамик, соединений, композитов на их основе и изделий из них","Специалист в области материаловедческого обеспечения технологического цикла производства объемных нанокерамик, соединений, композитов на их основе и изделий из них"
40.018,Сквозные виды профессиональной деятельности,Нанесение наноструктурированных керамических покрытий. Производство изделий с наноструктурированным керамическим покрытием,Специалист в области технологического обеспечения полного цикла производства изделий с наноструктурированными керамическими покрытиями
16.017,Строительство и ЖКХ,Организация эффективных методов предоставления коммунальных ресурсов потребителям                                        ,Специалист по абонентскому обслуживанию потребителей
16.018,Строительство и ЖКХ,Управление многоквартирными домами,Специалист по управлению многоквартирными домами
40.019,Сквозные виды профессиональной деятельности,Функциональная верификация и разработка тестов функционального контроля наноразмерных интегральных схем (ИС),Специалист по функциональной верификации и разработке тестов функционального контроля наноразмерных интегральных схем
40.020,Сквозные виды профессиональной деятельности,"Производство объемных нанокерамик, соединений, композитов на их основе и изделий из них","Специалист в области технологического обеспечения полного цикла производства объемных нанокерамик, соединений, композитов на их основе и изделий из них"
17.002,Транспорт,Обслуживание железнодорожных переездов,Дежурный по переезду
17.003,Транспорт,"Перевод централизованных стрелок на железнодорожных путях общего и необщего пользования, управление сигналами и роспуском железнодорожных подвижных составов на сортировочных горках железнодорожных станций","Оператор поста централизации, оператор сортировочной горки"
40.021,Сквозные виды профессиональной деятельности,Выполнение фрезерных работ на универсальных фрезерных станках,Фрезеровщик                                                                                                                                                    
17.004,Транспорт,Обслуживание стрелочных переводов нецентрализованного управления на железнодорожных путях общего и необщего пользования,Дежурный  стрелочного поста
17.005,Транспорт,"Управление несамоходной железнодорожно-строительной машиной, ее обслуживание и руководство работой железнодорожно-строительной машины (комплекса)","Работник по управлению и обслуживанию железнодорожно-строительной машины (несамоходной)
"
